#,Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
154,Isle of Man,336,,24,,312,,0,,3952,282,5484,64509,85011,Europe,253,3542,16
155,Vietnam,333,,,,323,,10,1,3,,275000,2826,97293994,Asia,292174,,354
156,Montenegro,324,,9,,315,,0,,516,14,13186,20995,628062,Europe,1938,69785,48
157,Myanmar,261,,6,,165,,90,,5,0.1,45926,844,54391666,Asia,208397,9065278,1184
158,Martinique,202,,14,,98,,90,,538,37,,,375278,North America,1858,26806,
159,Mongolia,197,,,,95,,102,11,60,,17605,5375,3275404,Asia,16626,,186
160,Suriname,187,,3,,9,,175,2,319,5,1165,1987,586365,South America,3136,195455,503
161,Cayman Islands,187,,1,,115,,71,,2847,15,17227,262279,65682,North America,351,65682,4
162,Faeroe Islands,187,,,,187,,0,,3828,,10863,222356,48854,Europe,261,,4
163,Gibraltar,176,,,,172,,4,,5224,,9914,294263,33691,Europe,191,,3
164,Guadeloupe,171,,14,,157,,0,,427,35,5691,14223,400121,North America,2340,28580,70
165,Syria,170,6,6,,71,3,93,,10,0.3,,,17475529,Asia,102797,2912588,
166,Comoros,163,,2,,97,,64,,188,2,,,868536,Africa,5328,434268,
167,Guyana,159,,12,,95,,52,1,202,15,1927,2451,786367,South America,4946,65531,408
168,Bermuda,141,,9,,127,,5,2,2264,144,8430,135339,62288,North America,442,6921,7
169,Brunei,141,,2,,138,,1,1,322,5,24131,55186,437264,Asia,3101,218632,18
170,Angola,130,,5,,42,,83,1,4,0.2,10000,305,32801945,Africa,252323,6560389,3280
171,Cambodia,126,,,,125,,1,1,8,,26530,1588,16706597,Asia,132592,,630
172,Trinidad and Tobago,117,,8,,109,,0,,84,6,3538,2528,1399271,North America,11960,174909,395
173,Bahamas,103,,11,,68,,24,1,262,28,2252,5730,393052,North America,3816,35732,175
174,Aruba,101,,3,,98,,0,,946,28,2208,20685,106744,North America,1057,35581,48
175,Monaco,99,,4,,93,,2,,2524,102,16200,412970,39228,Europe,396,9807,2
176,Barbados,96,,7,,83,,6,1,334,24,6388,22230,287358,North America,2993,41051,45
177,Burundi,85,,1,,45,,39,,7,0.08,382,32,11868767,Africa,139633,11868767,31070
178,Liechtenstein,82,,1,,55,,26,,2151,26,900,23608,38123,Europe,465,38123,42
179,Sint Maarten,77,,15,,61,,1,1,1797,350,471,10992,42851,North America,557,2857,91
180,Bhutan,62,,,,20,1,42,,80,,20612,26728,771167,Asia,12438,,37
181,French Polynesia,60,,,,60,,0,,214,,4262,15177,280828,Australia/Oceania,4680,,66
182,Botswana,48,,1,,24,,23,1,20,0.4,26800,11409,2348927,Africa,48936,2348927,88
183,Macao,45,,,,45,,0,,69,,,,648863,Asia,14419,,
184,Saint Martin,42,,3,,36,,3,1,1087,78,685,17732,38630,North America,920,12877,56
185,Eritrea,41,,,,39,,2,,12,,,,3543797,Africa,86434,,
186,Namibia,32,1,,,17,,15,1,13,,5514,2172,2538340,Africa,79323,,460
187,Gambia,28,,1,,22,,5,,12,0.4,1970,817,2412511,Africa,86161,2412511,1225
188,St. Vincent Grenadines,27,,,,25,,2,,243,,643,5797,110923,North America,4108,,173
189,Antigua and Barbuda,26,,3,,20,,3,1,266,31,489,4996,97888,North America,3765,32629,200
190,Timor-Leste,24,,,,24,,0,,18,,1568,1191,1317033,Asia,54876,,840
191,Grenada,23,,,,22,,1,1,204,,4130,36712,112498,North America,4891,,27
192,Curaao,22,,1,,15,,6,,134,6,1080,6583,164061,North America,7457,164061,152
193,New Caledonia,21,,,,20,,1,,74,,7582,26570,285357,Australia/Oceania,13588,,38
194,Belize,20,,2,,16,,2,,50,5,1776,4471,397225,North America,19861,198613,224
195,Laos,19,,,,19,,0,,3,,9703,1335,7269879,Asia,382625,,749
196,Saint Lucia,19,,,,18,,1,,103,,1264,6885,183586,North America,9662,,145
197,Dominica,18,,,,16,,2,,250,,534,7419,71978,North America,3999,,135
198,Fiji,18,,,,18,,0,,20,,2431,2713,896120,Australia/Oceania,49784,,369
199,Saint Kitts and Nevis,15,,,,15,,0,,282,,417,7841,53180,North America,3545,,128
200,Falkland Islands,13,,,,13,,0,,3742,,671,193149,3474,South America,267,,5
201,Greenland,13,,,,13,,0,,229,,2511,44235,56765,North America,4367,,23
202,Turks and Caicos,12,,1,,11,,0,,310,26,192,4963,38689,North America,3224,38689,202
203,Vatican City,12,,,,12,,0,,14981,,,,801,Europe,67,,
204,Montserrat,11,,1,,10,,0,,2204,200,61,12220,4992,North America,454,4992,82
205,Seychelles,11,,,,11,,0,,112,,,,98317,Africa,8938,,
206,MS Zaandam,9,,2,,,,7,,,,,,,,,,
207,Western Sahara,9,,1,,6,,2,,15,2,,,596469,Africa,66274,596469,
208,British Virgin Islands,8,,1,,7,,0,,265,33,212,7015,30221,North America,3778,30221,143
209,Papua New Guinea,8,,,,8,,0,,0.9,,5281,591,8937501,Australia/Oceania,1117188,,1692
210,Caribbean Netherlands,7,,,,7,,0,,267,,424,16176,26211,North America,3744,,62
211,St. Barth,6,,,,6,,0,,608,,152,15391,9876,North America,1646,,65
212,Lesotho,4,,,,2,,2,,2,,1515,707,2141394,Africa,535349,,1413
213,Anguilla,3,,,,3,,0,,200,,41,2734,14996,North America,4999,,366
214,Saint Pierre Miquelon,1,,,,1,,0,,173,,,,5795,North America,5795,,
215,China,83075,11,4634,,78367,2,74,,58,3,,,1439323776,Asia,17326,310601,
,Total:,2427434,6336,143365,543,1038207,4007,1245862,19287,,,,,,North America,,,
,Total:,1356208,764,57870,26,721175,30977,577163,12010,,,,,,South America,,,
,Total:,2183635,10057,182228,161,1154156,6322,847251,6725,,,,,,Europe,,,
,Total:,1553329,14664,38951,214,947740,12662,566638,15368,,,,,,Asia,,,
,Total:,228064,455,6085,5,105272,180,116707,524,,,,,,Africa,,,
,Total:,8905,4,124,,8391,,390,2,,,,,,Australia/Oceania,,,
,Total:,721,,15,,651,,55,4,,,,,,,,,
,Total:,7758296,32280,428638,949,3975592,54168,3354066,53920,995.3,55.0,,,,All,,,
